channel,message_id,version,published,edited,currency_a,currency_b,buy,sell,comment
GARANT,58261,v1,2025-10-25 08:05:10,2025-10-25 08:05:10,EUR,UAH,49.1,49.23,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58262,v1,2025-10-25 08:11:09,2025-10-25 08:21:53,EUR,USD,1.162,1.173,крос-курс (EUR/USD)
GARANT,58262,v1,2025-10-25 08:11:09,2025-10-25 08:21:53,EUR,UAH,49.6,49.35,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58262,v2,2025-10-25 08:11:09,2025-10-25 08:23:07,EUR,USD,1.162,1.173,крос-курс (EUR/USD)
GARANT,58262,v2,2025-10-25 08:11:09,2025-10-25 08:23:07,USD,UAH,42.05,42.23,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58262,v2,2025-10-25 08:11:09,2025-10-25 08:23:07,EUR,UAH,49.07,49.35,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58263,v1,2025-10-25 08:47:31,2025-10-25 08:47:31,EUR,USD,1.162,1.173,крос-курс (EUR/USD)
GARANT,58263,v1,2025-10-25 08:47:31,2025-10-25 08:47:31,EUR,UAH,49.07,49.35,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58264,v1,2025-10-25 09:36:05,2025-10-25 09:36:05,EUR,USD,1.163,1.172,крос-курс (EUR/USD)
GARANT,58264,v1,2025-10-25 09:36:05,2025-10-25 09:36:05,USD,UAH,42.1,42.22,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58264,v1,2025-10-25 09:36:05,2025-10-25 09:36:05,EUR,UAH,49.1,49.35,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58266,v1,2025-10-25 10:05:26,2025-10-25 10:05:26,EUR,USD,1.164,1.172,крос-курс (EUR/USD)
GARANT,58266,v1,2025-10-25 10:05:26,2025-10-25 10:05:26,USD,UAH,42.1,42.23,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58266,v1,2025-10-25 10:05:26,2025-10-25 10:05:26,EUR,UAH,49.15,49.35,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58268,v1,2025-10-25 11:11:35,2025-10-25 11:11:35,EUR,USD,1.164,1.172,крос-курс (EUR/USD)
GARANT,58268,v1,2025-10-25 11:11:35,2025-10-25 11:11:35,USD,UAH,42.02,42.25,від 1000$
GARANT,58268,v1,2025-10-25 11:11:35,2025-10-25 11:11:35,USD,UAH,42.05,42.25,від 3000$
GARANT,58268,v1,2025-10-25 11:11:35,2025-10-25 11:11:35,USD,UAH,42.1,42.22,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58268,v1,2025-10-25 11:11:35,2025-10-25 11:11:35,EUR,UAH,49.07,49.37,від 1000€
GARANT,58268,v1,2025-10-25 11:11:35,2025-10-25 11:11:35,EUR,UAH,49.1,49.35,від 3000€
GARANT,58268,v1,2025-10-25 11:11:35,2025-10-25 11:11:35,EUR,UAH,49.15,49.33,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58269,v1,2025-10-25 11:12:36,2025-10-25 11:12:36,EUR,USD,1.164,1.172,крос-курс (EUR/USD)
GARANT,58269,v1,2025-10-25 11:12:36,2025-10-25 11:12:36,USD,UAH,42.05,42.25,від 3000$
GARANT,58269,v2,2025-10-25 11:12:36,2025-10-25 11:52:31,EUR,USD,1.164,1.172,крос-курс (EUR/USD)
GARANT,58269,v2,2025-10-25 11:12:36,2025-10-25 11:52:31,USD,UAH,42.05,42.23,від 3000$
GARANT,58272,v1,2025-10-25 12:41:17,2025-10-25 12:41:17,EUR,USD,1.165,1.172,крос-курс (EUR/USD)
GARANT,58272,v1,2025-10-25 12:41:17,2025-10-25 12:41:17,USD,UAH,42.05,42.23,від 3000$
GARANT,58272,v1,2025-10-25 12:41:17,2025-10-25 12:41:17,USD,UAH,42.1,42.2,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58272,v1,2025-10-25 12:41:17,2025-10-25 12:41:17,EUR,UAH,49.05,49.37,від 1000€
GARANT,58272,v1,2025-10-25 12:41:17,2025-10-25 12:41:17,EUR,UAH,49.08,49.35,від 3000€
GARANT,58275,v1,2025-10-25 14:32:51,2025-10-25 14:32:51,EUR,USD,1.166,1.171,крос-курс (EUR/USD)
GARANT,58275,v1,2025-10-25 14:32:51,2025-10-25 14:32:51,USD,UAH,42.05,42.2,від 3000$
GARANT,58275,v1,2025-10-25 14:32:51,2025-10-25 14:32:51,EUR,UAH,49.18,49.3,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58275,v1,2025-10-25 14:32:51,2025-10-25 14:32:51,PLN,UAH,11.5,11.65,
GARANT,58277,v1,2025-10-25 15:04:29,2025-10-25 15:04:29,EUR,USD,1.166,1.171,крос-курс (EUR/USD)
GARANT,58277,v1,2025-10-25 15:04:29,2025-10-25 15:04:29,USD,UAH,42.04,42.22,від 1000$
GARANT,58277,v1,2025-10-25 15:04:29,2025-10-25 15:04:29,USD,UAH,42.07,42.2,від 3000$
GARANT,58277,v1,2025-10-25 15:04:29,2025-10-25 15:04:29,USD,UAH,42.08,42.18,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58277,v1,2025-10-25 15:04:29,2025-10-25 15:04:29,EUR,UAH,49.18,49.28,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58277,v1,2025-10-25 15:04:29,2025-10-25 15:04:29,PLN,UAH,11.52,11.65,
GARANT,58281,v1,2025-10-25 16:17:52,2025-10-25 16:17:52,EUR,USD,1.167,1.171,крос-курс (EUR/USD)
GARANT,58281,v1,2025-10-25 16:17:52,2025-10-25 16:17:52,EUR,UAH,49.13,49.37,від 3000€
GARANT,58281,v2,2025-10-25 16:17:52,2025-10-25 16:25:38,EUR,USD,1.167,1.171,крос-курс (EUR/USD)
GARANT,58281,v2,2025-10-25 16:17:52,2025-10-25 16:25:38,USD,UAH,42.04,42.18,від 1000$
GARANT,58281,v2,2025-10-25 16:17:52,2025-10-25 16:25:38,USD,UAH,42.07,42.16,від 3000$
GARANT,58281,v2,2025-10-25 16:17:52,2025-10-25 16:25:38,USD,UAH,42.1,42.16,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58281,v2,2025-10-25 16:17:52,2025-10-25 16:25:38,EUR,UAH,49.1,49.37,від 1000€
GARANT,58281,v2,2025-10-25 16:17:52,2025-10-25 16:25:38,EUR,UAH,49.13,49.36,від 3000€
GARANT,58281,v2,2025-10-25 16:17:52,2025-10-25 16:25:38,EUR,UAH,49.19,49.28,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58287,v1,2025-10-25 18:04:48,2025-10-25 18:04:48,EUR,USD,1.168,1.171,крос-курс (EUR/USD)
GARANT,58287,v1,2025-10-25 18:04:48,2025-10-25 18:04:48,USD,UAH,42.05,42.18,від 1000$
GARANT,58287,v1,2025-10-25 18:04:48,2025-10-25 18:04:48,USD,UAH,42.08,42.16,від 3000$
GARANT,58287,v1,2025-10-25 18:04:48,2025-10-25 18:04:48,EUR,UAH,49.15,49.4,від 1000€
GARANT,58287,v1,2025-10-25 18:04:48,2025-10-25 18:04:48,EUR,UAH,49.18,49.38,від 3000€
GARANT,58287,v1,2025-10-25 18:04:48,2025-10-25 18:04:48,EUR,UAH,49.2,49.28,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58287,v1,2025-10-25 18:04:48,2025-10-25 18:04:48,PLN,UAH,11.54,11.65,
GARANT,58290,v1,2025-10-25 18:24:57,2025-10-25 18:24:57,EUR,USD,1.168,1.171,крос-курс (EUR/USD)
GARANT,58290,v1,2025-10-25 18:24:57,2025-10-25 18:24:57,USD,UAH,42.04,42.18,від 1000$
GARANT,58290,v1,2025-10-25 18:24:57,2025-10-25 18:24:57,USD,UAH,42.07,42.16,від 3000$
GARANT,58290,v1,2025-10-25 18:24:57,2025-10-25 18:24:57,EUR,UAH,49.22,49.28,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58293,v1,2025-10-25 19:01:05,2025-10-25 19:01:05,EUR,USD,1.168,1.171,крос-курс (EUR/USD)
GARANT,58293,v1,2025-10-25 19:01:05,2025-10-25 19:01:05,USD,UAH,42.07,42.18,від 1000$
GARANT,58293,v1,2025-10-25 19:01:05,2025-10-25 19:01:05,USD,UAH,42.1,42.16,від 3000$
GARANT,58293,v1,2025-10-25 19:01:05,2025-10-25 19:01:05,USD,UAH,42.12,42.16,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58296,v1,2025-10-26 09:18:08,2025-10-26 09:18:08,EUR,USD,1.167,1.171,крос-курс (EUR/USD)
GARANT,58296,v1,2025-10-26 09:18:08,2025-10-26 09:18:08,USD,UAH,42.02,42.2,від 1000$
GARANT,58296,v1,2025-10-26 09:18:08,2025-10-26 09:18:08,USD,UAH,42.05,42.18,від 3000$
GARANT,58296,v1,2025-10-26 09:18:08,2025-10-26 09:18:08,USD,UAH,42.07,42.18,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58296,v1,2025-10-26 09:18:08,2025-10-26 09:18:08,EUR,UAH,49.2,49.28,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58297,v1,2025-10-26 09:49:28,2025-10-26 09:49:28,EUR,USD,1.166,1.171,крос-курс (EUR/USD)
GARANT,58297,v1,2025-10-26 09:49:28,2025-10-26 09:49:28,EUR,UAH,49.18,49.28,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58301,v1,2025-10-26 15:37:00,2025-10-26 15:37:00,EUR,USD,1.169,1.172,крос-курс (EUR/USD)
GARANT,58301,v1,2025-10-26 15:37:00,2025-10-26 15:37:00,USD,UAH,41.95,42.12,від 1000$
GARANT,58301,v1,2025-10-26 15:37:00,2025-10-26 15:37:00,USD,UAH,41.98,42.1,від 3000$
GARANT,58301,v1,2025-10-26 15:37:00,2025-10-26 15:37:00,USD,UAH,42.02,42.1,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58301,v1,2025-10-26 15:37:00,2025-10-26 15:37:00,EUR,UAH,49.2,49.27,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58303,v1,2025-10-26 17:01:56,2025-10-26 17:01:56,EUR,USD,1.17,1.174,крос-курс (EUR/USD)
GARANT,58303,v1,2025-10-26 17:01:56,2025-10-26 17:01:56,USD,UAH,41.92,42.1,від 1000$
GARANT,58303,v1,2025-10-26 17:01:56,2025-10-26 17:01:56,USD,UAH,41.93,42.08,від 3000$
GARANT,58303,v1,2025-10-26 17:01:56,2025-10-26 17:01:56,USD,UAH,41.95,42.08,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58306,v1,2025-10-26 17:03:56,2025-10-26 17:03:56,EUR,USD,1.17,1.174,крос-курс (EUR/USD)
GARANT,58306,v1,2025-10-26 17:03:56,2025-10-26 17:03:56,USD,UAH,41.92,42.09,від 1000$
GARANT,58306,v1,2025-10-26 17:03:56,2025-10-26 17:03:56,USD,UAH,41.93,42.07,від 3000$
GARANT,58306,v1,2025-10-26 17:03:56,2025-10-26 17:03:56,USD,UAH,41.95,42.07,кращий курс мережі від 3000$  відділення уточнюйте
